models,dialogicity,soft_correction_rate,supportive_style,intuition_to_rigor_ratio,n_sentences
Моя модель,0.1853932584269663,0.0449438202247191,0.03932584269662921,0.0056179775280898875,178
Baseline Yandex,0.046511627906976744,0.0,0.003875968992248062,0.0012919896640826874,774
Baseline Giga,0.044573643410852716,0.0,0.007751937984496124,0.001937984496124031,516
Baseline GPT,0.004366812227074236,0.0,0.008733624454148471,0.004366812227074236,229
